run_name,model,active_learning_strategy,dataset_size,accuracy,precision_avg,recall_avg,f1_avg,precision_negative,precision_positive,recall_negative,recall_positive,f1_negative,f1_positive
run_8298122661_ensemble_comitee,bert,comitee,0,0.4919486581096849,0.5204597546517697,0.4919486581096849,0.3308932907528407,0.5483870967741935,0.4915373765867419,0.0077981651376146,0.9933491686460808,0.0153776571687019,0.657650573989621
run_8298122661_ensemble_comitee,bert,comitee,100,0.5402567094515752,0.574067865983364,0.5402567094515752,0.466596771976616,0.5281501340482574,0.6216216216216216,0.9036697247706422,0.1638954869358669,0.6666666666666667,0.2593984962406015
run_8298122661_ensemble_comitee,bert,comitee,200,0.5626604434072345,0.598465439099234,0.5626604434072345,0.5265673156560673,0.6600418410041841,0.5346951036347252,0.2894495412844036,0.8456057007125891,0.4024234693877551,0.6551343393448658
run_8298122661_ensemble_comitee,bert,comitee,300,0.6053675612602101,0.6068847578249403,0.6053675612602101,0.6024207601641725,0.5972940708316753,0.6168171557562077,0.6885321100917431,0.5192399049881236,0.6396761133603238,0.5638380190869229
run_8298122661_ensemble_comitee,bert,comitee,400,0.5617269544924154,0.6134333302710332,0.5617269544924154,0.5134029661582399,0.6916243654822335,0.5324563911924507,0.25,0.8845605700712589,0.3672506738544474,0.664762584791146
run_8298122661_ensemble_comitee,bert,comitee,500,0.617269544924154,0.6290836384556034,0.617269544924154,0.6106517600638384,0.6706700379266751,0.586015538290788,0.486697247706422,0.7524940617577197,0.5640616693248273,0.6589018302828619
run_8298122661_ensemble_comitee,bert,comitee,600,0.6175029171528588,0.6311887265056795,0.6175029171528588,0.6097585740862449,0.6759921925829538,0.5847889374090247,0.4766055045871559,0.7634204275534442,0.5590529997309659,0.6622707603544199
run_8298122661_ensemble_comitee,bert,comitee,700,0.6163360560093349,0.6443429323533957,0.6163360560093349,0.600146042917083,0.7097026604068858,0.5766544728965747,0.4160550458715596,0.8237529691211402,0.5245806824754193,0.6784037558685446
run_8298122661_ensemble_comitee,bert,comitee,800,0.6413068844807468,0.6766266998271561,0.6413068844807468,0.6193991414550577,0.6014515620069423,0.7544802867383512,0.8743119266055046,0.4,0.7126565713217424,0.5228190003104626
run_8298122661_ensemble_comitee,bert,comitee,900,0.6555425904317386,0.656653191250365,0.6555425904317386,0.6553561422780272,0.6728880157170923,0.6398399288572699,0.6284403669724771,0.6836104513064133,0.6499051233396584,0.6610013780431787
run_8298122661_ensemble_comitee,bert,comitee,1000,0.6401400233372229,0.6657606036174671,0.6401400233372229,0.6281823889955037,0.7325072886297376,0.5966357706831446,0.4610091743119266,0.8256532066508313,0.5658783783783784,0.6927062574730968
run_8298119734_ensemble_comitee,bert,comitee,2000,0.6912485414235706,0.7026374489158631,0.6912485414235706,0.6856473218808514,0.6578268876611418,0.7490445859872611,0.8192660550458716,0.5586698337292162,0.7297242083758938,0.6399999999999999
run_8298119734_ensemble_comitee,bert,comitee,3000,0.6791131855309218,0.7073527082585898,0.6791131855309218,0.669588986282575,0.7848549186128804,0.6270891364902507,0.5087155963302752,0.855581947743468,0.6173114389089897,0.723729154108901
run_8298119734_ensemble_comitee,bert,comitee,4000,0.7057176196032672,0.7146283906368855,0.7057176196032672,0.7034662852806688,0.7600452744765138,0.6675933280381255,0.6160550458715597,0.7985748218527315,0.680516848239169,0.72723339822626
run_8298119734_ensemble_comitee,bert,comitee,5000,0.7169194865810968,0.7290699815375312,0.7169194865810968,0.7121444120727961,0.6794063079777366,0.7805031446540881,0.8399082568807339,0.5895486935866984,0.7511794871794872,0.6717185385656292
run_8298119734_ensemble_comitee,bert,comitee,6000,0.7129521586931156,0.7218133914593019,0.7129521586931156,0.7108386411967454,0.7677564825253664,0.6742333731581044,0.6247706422018349,0.8042755344418052,0.6889226100151745,0.7335355285961872
run_8298119734_ensemble_comitee,bert,comitee,7000,0.7246207701283547,0.7292202509653477,0.7246207701283547,0.7226428368008564,0.6995211492418196,0.7599775154581225,0.8041284403669725,0.6422802850356295,0.7481860862142552,0.6961894953656025
run_8298119734_ensemble_comitee,bert,comitee,8000,0.7288214702450408,0.7301484234604855,0.7288214702450408,0.728101820211592,0.7151310228233305,0.7457008858780615,0.7761467889908257,0.6798099762470309,0.7443906731192258,0.7112326043737575
run_8298119734_ensemble_comitee,bert,comitee,9000,0.7325554259043174,0.7325599995269746,0.7325554259043174,0.7325575531177106,0.7373737373737373,0.7275747508305648,0.736697247706422,0.7282660332541567,0.7370353373106929,0.7279202279202279
run_8298119734_ensemble_comitee,bert,comitee,10000,0.6569428238039673,0.7314851805320337,0.6569428238039673,0.629852391887881,0.8622448979591837,0.5960665658093798,0.3876146788990826,0.9358669833729216,0.5348101265822784,0.7282809611829945
run_8298122661_ensemble_comitee,lstm,comitee,0,0.4807467911318553,0.4788414267846073,0.4807467911318553,0.4769542301154321,0.4910322837783977,0.4662162162162162,0.5651376146788991,0.3933491686460807,0.5254851780763489,0.4266941509920123
run_8298122661_ensemble_comitee,lstm,comitee,100,0.585997666277713,0.6066231600382269,0.585997666277713,0.559596103346523,0.5636363636363636,0.6511415525114155,0.8247706422018348,0.3387173396674584,0.6696461824953446,0.4456249999999999
run_8298122661_ensemble_comitee,lstm,comitee,200,0.6081680280046674,0.6107831464743025,0.6081680280046674,0.6040438059429898,0.5970554048818287,0.625,0.7068807339449541,0.505938242280285,0.6473429951690821,0.5592018902599107
